mcsa_id,best_model,aic.fit1,r.sq.fit1,dev.expl.fit1,aic.fit2,r.sq.fit2,dev.expl.fit2,aic.fit12,r.sq.fit12,dev.expl.fit12,rmse_lrmsf.fit1,rmse_lrmsf.fit2,rmse_lrmsf.fit12,rmse_dactive.fit1,rmse_dactive.fit2,rmse_dactive.fit12,range_s1,range_s2,range_s2_rel,range_s1_rel,shapley_lrmsf,shapley_dactive,prop_lrmsf,prop_dactive
2,fit12,447.7030415431822,0.3509,0.35641052862218886,454.9088543001244,0.3374,0.34769849206794623,410.67693141305335,0.4446,0.4579030258490572,0.04446832779579575,0.1809387943242903,0.03967392320312313,0.19627285324470636,0.04102356837381543,0.042826510859748916,1.301577146895092,2.0530896445657443,0.6120100064160762,0.3879899935839238,0.2333075312016499,0.22459549464740727,0.5095129711559435,0.49048702884405654
15,fit12,335.5806886167634,0.5031,0.5091850630236323,395.82825154282483,0.3456,0.3484965357884603,286.06065322629865,0.6025,0.6086969008152768,0.08348430042548675,0.3231880529744488,0.06258909810343925,0.21257640104788433,0.0637976601756506,0.04311378351091607,2.513342154304492,1.196650369413446,0.3225479193726873,0.6774520806273128,0.3846927140252244,0.2240041867900524,0.6319938766075109,0.368006123392489
71,fit12,152.83858988658307,0.7127,0.7161450121121108,327.36419643636356,0.3754,0.3866323821034241,143.70978305867388,0.7265,0.7320616930841173,0.026784022860917155,0.2694878665199692,0.026525296710788817,0.06936444800884735,0.03214781150431702,0.03728450117107667,3.1572189300224878,0.28712224510643614,0.08336057042772163,0.9166394295722784,0.5307871615464019,0.2012745315377153,0.7250579651425799,0.27494203485742
98,fit12,288.36122227829014,0.701,0.706869465577525,409.9816614934583,0.3819,0.3926426283138964,287.4505159054538,0.7057,0.7147655331429732,0.07708539171167962,0.3985129897597921,0.069662661045315,0.12823524301888028,0.06716849706507509,0.09254436135507005,4.075387896423633,0.3351720751697695,0.07599308870721055,0.9240069112927896,0.5144961852033009,0.20026934793967233,0.7198111287500865,0.28018887124991354
109,fit12,701.4194401911202,0.4055,0.4087133198399013,819.2605032073822,0.1782,0.1861964839802509,688.0786633250957,0.43,0.4359123924131647,0.035168783986164714,0.37388331452309376,0.04442049286107788,0.1432923606906787,0.092420254990989,0.09275268090563697,2.8904995715115693,0.4063664354837869,0.12325840195553914,0.8767415980444608,0.3292146141364075,0.10669777827675717,0.7552311424639946,0.24476885753600533
148,fit12,587.4505751569089,0.4628,0.46570285376320514,618.7374903741031,0.4088,0.41398015173437797,575.3758127570891,0.4888,0.49745742023343936,0.05611803105749999,0.1300151830786899,0.03787058881037935,0.11158482724371989,0.04519227998173262,0.057597573849961,1.9319551825381058,1.3254947114303255,0.4069117728824139,0.5930882271175861,0.27459006113113327,0.2228673591023061,0.5519870645457007,0.44801293545429927
151,fit12,224.47007668406854,0.5548,0.5662848159421549,307.9883768731189,0.2358,0.24635892021165273,205.2915629392244,0.6018,0.608171275049376,0.018152017586991618,0.41542570643223253,0.02740461663043971,0.22084287224593843,0.10132420468218634,0.16511678277060635,2.401444860646079,0.7223113544325471,0.23123166620554167,0.7687683337944583,0.46404858538993904,0.14412268965943692,0.7630228595591991,0.2369771404408009
160,fit12,413.97726930026715,0.4802,0.48598170575284844,459.32048799426934,0.3752,0.37762365101540146,388.75438398677215,0.5305,0.5371056811868532,0.03694970260570538,0.2447527818139916,0.038687921023071184,0.15337407681496498,0.07914083923541887,0.07528658292399039,1.6024707575503017,0.9820967822132105,0.3799849557435332,0.6200150442564669,0.3227318679621501,0.2143738132247031,0.6008721919474078,0.3991278080525922
164,fit12,263.5398715971975,0.3918,0.4006920011229515,297.36337229443365,0.1999,0.2123825617357355,252.0985354027603,0.4532,0.46882332958047906,0.08183710410357975,0.44639248085067157,0.08172795491408191,0.2290020061790686,0.08960563199768022,0.0680612625094184,2.5602232999483716,1.1368924688513564,0.3075079440156264,0.6924920559843736,0.32856638448384756,0.14025694509663153,0.700831984572656,0.299168015427344
174,fit12,333.7903048755675,0.2369,0.24056165575839136,332.9561446020997,0.2448,0.2533482378988714,315.307607338737,0.3061,0.3149513394390315,0.0417699869456564,0.15854725137003012,0.058230855399076506,0.1486063075436064,0.04826074022031212,0.05352876150388993,0.9560790663430269,0.8984874377076139,0.4844730214555195,0.5155269785444805,0.1510823786492757,0.16386896078975577,0.47970070207789145,0.5202992979221085
216,fit12,518.4818839675735,0.3794,0.38523946428290234,570.6222533020357,0.2391,0.2460023989025558,504.6791223330966,0.4159,0.4252715890792525,0.04033975458511842,0.29782550343216013,0.03938755325894567,0.1628373477938181,0.05898938439291975,0.07109457917873202,2.2350979152151282,0.9359188580885243,0.2951478736939818,0.7048521263060181,0.28225432722979954,0.14301726184945296,0.6637037001246734,0.33629629987532655
252,fit12,435.8971018368432,0.3628,0.3668890977180761,377.1641852164912,0.5014,0.5074308095405223,353.3320614169173,0.5501,0.5580572689657554,0.03729696524199558,0.14038296510773982,0.042386091647212576,0.25524092387162173,0.04228085331362523,0.035330417330989745,1.1066636912922239,1.5934462428856182,0.5901412467380917,0.4098587532619084,0.20875777857165456,0.3492994903941008,0.3740794900110239,0.6259205099889761
257,fit12,366.84271341601084,0.5378,0.5432704069138071,527.1429297715525,0.2747,0.2802222209751905,358.20802830923117,0.554,0.5645043937498163,0.014294827809749038,0.24460257856071463,0.012999092935806814,0.060510116704880525,0.03327362383991275,0.02638821737923973,2.377693756990581,1.0630855838929394,0.3089665097849492,0.6910334902150508,0.41377628984421644,0.15072810390559985,0.7329903795710733,0.26700962042892673
258,fit1,409.4596143651909,0.6597,0.6642803506802195,635.5169017245838,0.1971,0.20872813856908484,411.56684332371725,0.658,0.6637063268072171,0.04456115353567829,0.479137267852688,0.04955214653846651,0.08371375184159977,0.11322647401554713,0.08513307697986422,4.663436397723464,4.4477492491111575e-7,9.537492195837954e-8,0.9999999046250779,0.5596292694591759,0.10407705734804121,0.8431880891527619,0.1568119108472381
290,fit12,292.75092813722614,0.554,0.558192431483263,403.42471700173905,0.2589,0.26755332981376234,275.1143725305762,0.5933,0.6017514415909657,0.04105105592264757,0.33530492073420287,0.03524380288952712,0.13614996442246569,0.03207340282849066,0.03923775938695269,2.41822743104764,0.9946870059740682,0.29144797630557806,0.7085520236944219,0.4461952716302332,0.15555616996073252,0.741494312752357,0.258505687247643
328,fit12,306.24963546070967,0.2938,0.3044563630906608,337.9561753619391,0.165,0.17481004398903505,298.11746234714184,0.3305,0.3484465572193648,0.04813150455150007,0.22223456606489134,0.06448912656841128,0.11332878135492641,0.0466549591363422,0.05459045490352171,0.8616766169217192,0.565224342227171,0.39612023427632487,0.6038797657236752,0.23904643816049528,0.10940011905886951,0.6860347252907522,0.31396527470924784
