mcsa_id,best_model,aic.fit1,r.sq.fit1,dev.expl.fit1,aic.fit2,r.sq.fit2,dev.expl.fit2,aic.fit12,r.sq.fit12,dev.expl.fit12,rmse_lrmsf.fit1,rmse_lrmsf.fit2,rmse_lrmsf.fit12,rmse_dactive.fit1,rmse_dactive.fit2,rmse_dactive.fit12,range_s1,range_s2,range_s2_rel,range_s1_rel,shapley_lrmsf,shapley_dactive,prop_lrmsf,prop_dactive
2,fit12,415.3865960182966,0.4279,0.4348169920246592,449.2530581060287,0.3501,0.35881049628247813,377.51090411777534,0.512,0.5253507547603394,0.03303235753872577,0.2235570918350377,0.05318859596014416,0.18173714527162801,0.0426530426295441,0.048720258000820596,1.1259713462273377,1.8312408561454638,0.6192456715402828,0.38075432845971735,0.3006786252512602,0.2246721295090792,0.5723388089323813,0.42766119106761863
15,fit12,305.3922686195514,0.5111,0.5161759133767093,365.62214953176937,0.3526,0.35562081857468913,254.9770594350613,0.6113,0.615039590078912,0.060215012661833406,0.29896126450771127,0.055484047145065836,0.20320517411222797,0.029895149467344184,0.04021539450766838,2.5554242614083345,1.1349128248983538,0.3075363573451176,0.6924636426548824,0.38779734244046604,0.2272422476384459,0.6305241950208605,0.36947580497913934
71,fit12,166.47520814013458,0.5781,0.5824331315424363,271.7141927581386,0.3149,0.32375452587349524,116.11861831700033,0.6695,0.6766862844366943,0.029705574259632876,0.296417864237226,0.026956272339742054,0.1392772596636544,0.028403545766096012,0.02328784085527462,1.7656845851479068,0.4945500006264423,0.2188047221908212,0.7811952778091789,0.46768244505281764,0.20900383938387665,0.6911362854681452,0.3088637145318548
98,fit12,329.21027437116635,0.6166,0.6220003774082554,414.6288890439048,0.3655,0.37746506714059763,327.5013364726748,0.6224,0.6296843420883136,0.07068119776332964,0.3823524303532232,0.08014588462457432,0.15191273953206708,0.08226999849454063,0.10335930465187826,4.112693394341458,0.4173624937198448,0.0921318641608328,0.9078681358391671,0.43710982617798566,0.1925745159103279,0.6941729323113465,0.3058270676886535
109,fit12,713.8216976185363,0.3524,0.35425775896037126,798.8970334584762,0.1811,0.18701434650372942,699.6479588226116,0.3817,0.3874049766038344,0.048029597932605105,0.32619783339168357,0.03669869187468446,0.14302942036938476,0.08656812550982675,0.08162301013851554,2.5321222163758335,0.5215465785555666,0.17079343359739937,0.8292065664026007,0.2773241945302381,0.11008078207359627,0.7158508828703912,0.2841491171296087
148,fit12,584.0558970366204,0.468,0.47033027046306675,616.2356298045343,0.4135,0.41857890132606745,572.6254018272075,0.4924,0.5001276313040578,0.06120935902014578,0.1268339210647288,0.04048434227879789,0.10445921238048649,0.04529234891407776,0.06253741388007826,1.8798322628728927,1.091216446692315,0.36728325697898334,0.6327167430210165,0.27593950022052854,0.22418813108352925,0.5517381623187467,0.4482618376812533
151,fit12,217.40015067272557,0.5435,0.552572610070482,284.5458702892781,0.2914,0.29658397089630784,192.67730934040253,0.6085,0.6146578410184204,0.03524134893897741,0.3691501798166361,0.04853129134124697,0.20851168670048567,0.10380544878318537,0.1506840429384066,1.9980393703585086,0.8671350538826333,0.3026465148320941,0.697353485167906,0.43532324009629725,0.1793346009221231,0.7082366986078215,0.2917633013921785
160,fit12,431.5320526787189,0.4419,0.44848476809327625,465.1159534363816,0.3583,0.3608414605074516,393.90352180618623,0.5203,0.5278038170037155,0.040005289117318425,0.2530381680845816,0.036788730213703366,0.18625754654290366,0.07486968644930111,0.06769980208886432,1.2657182447703756,1.1503313213569322,0.4761207458176453,0.5238792541823547,0.30772356229477005,0.2200802547089454,0.5830264056097264,0.41697359439027354
164,fit12,244.95036133331132,0.4139,0.4188863952867132,288.781790332306,0.1571,0.16871949533940894,243.25814923149204,0.4269,0.4366128208533972,0.12707615891656046,0.4254380065342697,0.13525641958037893,0.13358349385157983,0.0935552689333767,0.08016081273211771,3.1432676817255762,0.5960101106529654,0.15939177128475535,0.8406082287152447,0.3433898604003507,0.09322296045304648,0.7864859756732882,0.21351402432671174
174,fit12,327.02845167998896,0.235,0.23863141137173297,334.4626279559202,0.2116,0.21951803066766945,309.87044488189576,0.2991,0.3068313088058057,0.04469385484639438,0.17791323494852776,0.04745582427025632,0.14130248402037512,0.04137563510552277,0.04618355468498017,1.1262804466142167,0.7967449106396433,0.4143184631623474,0.5856815368376527,0.1629723447549346,0.14385896405087112,0.5311463989422285,0.46885360105777146
